id,popularity,budget_adj,original_title,revenue_adj,release_year,vote_count,vote_average,director
167073,3.227329,10119995.5472,Brooklyn,57110024.5916,2015,754,7.3,John Crowley
277216,3.202719,25759988.6656,Straight Outta Compton,185504110.098,2015,918,7.7,F. Gary Gray
274854,3.080505,82799963.568,The Last Witch Hunter,129164861.167,2015,879,5.6,Breck Eisner
321697,3.079522,27599987.856,Steve Jobs,31686509.2179,2015,1035,6.9,Danny Boyle
203801,3.053421,68999969.64,The Man from U.N.C.L.E.,99493456.5029,2015,1548,7.0,Guy Ritchie
293863,3.025852,22999989.88,The Age of Adaline,39219376.6635,2015,1221,7.3,Lee Toland Krieger
325348,3.023253,9199995.952,Hardcore Henry,13187080.9977,2015,396,5.9,Ilya Naishuller
228161,2.976436,124199945.352,Home,339361177.121,2015,1060,6.9,Tim Johnson
286565,2.968254,11039995.1424,Paper Towns,78671281.3846,2015,1252,6.2,Jake Schreier
265208,2.93234,27599987.856,Wild Card,0.0,2015,481,5.3,Simon West
254320,2.885126,3679998.3808,The Lobster,8339346.45069,2015,638,6.6,Yorgos Lanthimos
258480,2.883233,10855995.2234,Carol,37050347.8978,2015,562,7.1,Todd Haynes
257211,2.814802,32199985.832,The Intern,178999419.48,2015,1255,7.1,Nancy Meyers
253412,2.798017,50599977.736,Everest,187153294.933,2015,1172,6.7,Baltasar Kormákur
274479,2.793297,55199975.712,Joy,93043293.341,2015,1001,6.4,David O. Russell
257088,2.614499,96599957.496,Point Break,123021159.991,2015,505,5.5,Ericson Core
295964,2.584264,18399991.904,Burnt,33678188.7416,2015,631,6.3,John Wells
238615,2.578919,23919989.4752,Self/less,28081355.5642,2015,719,6.2,Tarsem Singh
210860,2.575711,55199975.712,Mortdecai,27985062.8866,2015,696,5.3,David Koepp
306819,2.557859,13799993.928,The Danish Girl,59056175.1753,2015,867,7.3,Tom Hooper
201088,2.550747,64399971.664,Blackhat,16332697.6136,2015,584,5.0,Michael Mann
273481,2.487849,27599987.856,Sicario,77303716.7064,2015,1479,7.1,Denis Villeneuve
166424,2.487042,110399952.344,Fantastic Four,154539320.323,2015,1565,4.4,Josh Trank
310131,2.46449,3219998.5832,The Witch,37190013.0364,2015,700,5.8,Robert Eggers
238713,2.404473,59799973.688,Spy,216812826.082,2015,1840,6.9,Paul Feig
256591,2.395366,46091979.7195,Focus,141645863.636,2015,1831,6.7,Glenn Ficarra
249070,2.354654,32199985.832,Hitman: Agent 47,75759810.1857,2015,820,5.5,Aleksander Bach
205775,2.345821,91999959.52,In the Heart of the Sea,86315059.3814,2015,805,6.4,Ron Howard
334074,2.331636,18399991.904,Survivor,0.0,2015,280,5.4,James McTeigue
312221,2.331567,32199985.832,Creed,126900665.804,2015,1171,7.3,Ryan Coogler
271718,2.31767,32199985.832,Trainwreck,129532072.566,2015,849,6.1,Judd Apatow
333352,2.29573,11959994.7376,Eye in the Sky,30220316.9031,2015,265,7.2,Gavin Hood
276907,2.28135,22999989.88,Legend,39535137.0845,2015,619,6.7,Brian Helgeland
284289,2.272044,0.0,Beyond the Reach,42223.3814217,2015,81,5.5,Jean-Baptiste Léonetti
266647,2.234573,137999939.28,Pan,118117202.428,2015,586,5.9,Joe Wright
347096,2.165433,0.0,Mythica: The Darkspore,0.0,2015,27,5.1,Anne K. Black
308369,2.141506,0.0,Me and Earl and the Dying Girl,0.0,2015,569,7.7,Alfonso Gomez-Rejon
227973,2.140199,91079959.9248,The Peanuts Movie,226534364.285,2015,414,6.4,Steve Martino
321741,2.121884,32199985.832,Concussion,44733666.5572,2015,500,6.9,Peter Landesman
296100,2.096273,22999989.88,The Night Before,48204295.1101,2015,363,6.1,Jonathan Levine
263472,2.080935,2299998.988,Knock Knock,4796917.44936,2015,473,4.8,Eli Roth
228205,2.070708,31279986.2368,The Longest Ride,57972193.0122,2015,711,7.3,"George Tillman, Jr."
159824,2.060162,73599967.616,Hotel Transylvania 2,428888671.769,2015,919,6.8,Genndy Tartakovsky
333348,2.055572,15639993.1184,Love the Coopers,22079990.2848,2015,111,5.3,Jessie Nelson
285783,2.049886,32199985.832,The Walk,56287361.8736,2015,706,6.8,Robert Zemeckis
290764,2.026651,10119995.5472,Tracers,1714249.04573,2015,326,5.9,Daniel Benmayor
296099,2.000338,28519987.4512,Vacation,96033410.7053,2015,846,6.1,John Francis Daley
243688,1.984529,32199985.832,Poltergeist,87802915.8467,2015,589,5.0,Gil Kenan
287424,1.980039,3679998.3808,Maggie,172142.964257,2015,384,5.1,Henry Hobson
301875,1.959765,0.0,Equals,1839999.1904,2015,135,5.6,Drake Doremus
181283,1.95632,45999979.76,Child 44,3058382.25431,2015,341,5.9,Daniel Espinosa
328425,1.926739,4599997.976,The Gift,54260336.8855,2015,631,6.6,Joel Edgerton
274167,1.904898,45999979.76,Daddy's Home,221131463.342,2015,568,5.7,Sean Anders
370687,1.876037,0.0,Mythica: The Necromancer,0.0,2015,11,5.4,A. Todd Smith
307663,1.872696,9199995.952,Vice,0.0,2015,181,4.1,Brian A Miller
309809,1.865007,58879974.0928,The Little Prince,89765510.5032,2015,423,7.5,Mark Osborne
258509,1.841779,0.0,Alvin and the Chipmunks: The Road Chip,215055014.136,2015,278,5.7,Walt Becker
298382,1.82313,10975595.1707,The Dressmaker,16872792.576,2015,197,6.9,Jocelyn Moorhouse
272693,1.758618,7819996.5592,The DUFF,40046325.6596,2015,753,6.8,Ari Sandel
283445,1.742286,9199995.952,Sinister 2,48651435.1534,2015,331,5.5,Ciaran Foy
256961,1.73518,27599987.856,Paul Blart: Mall Cop 2,98989419.0847,2015,422,5.3,Andy Fickman
326359,1.724712,0.0,Frozen Fever,0.0,2015,475,7.0,Chris Buck
254302,1.661789,0.0,High-Rise,0.0,2015,161,5.4,Ben Wheatley
241251,1.651078,3679998.3808,The Boy Next Door,46150034.454,2015,810,3.9,Rob Cohen
292040,1.646664,0.0,Spooks: The Greater Good,0.0,2015,114,5.6,Bharat Nalluri
188222,1.532997,27599987.856,Entourage,45322311.7382,2015,364,6.2,Doug Ellin
252838,1.510096,21159990.6896,The Wedding Ringer,73415857.297,2015,446,6.5,Jeremy Garelick
273477,1.499614,13799993.928,Scouts Guide to the Zombie Apocalypse,13671898.7044,2015,288,6.2,Christopher B. Landon
298312,1.495112,4599997.976,The Visit,90574017.1874,2015,729,5.9,M. Night Shyamalan
261023,1.483246,48759978.5456,Black Mass,91793583.3708,2015,848,6.3,Scott Cooper
336004,1.449072,8187996.39728,Heist,46125.099705,2015,233,5.4,Scott Mann
287903,1.448002,13799993.928,Krampus,56624785.5251,2015,342,5.9,Michael Dougherty
182560,1.443406,18399991.904,Dark Places,191900.875564,2015,322,5.7,Gilles Paquet-Brenner
192141,1.41239,4599997.976,No Escape,50065340.2113,2015,519,6.7,John Erick Dowdle
308639,1.40805,643999.71664,Dope,16547831.239,2015,448,7.3,Rick Famuyiwa
261392,1.388251,25759988.6656,American Ultra,25951426.7814,2015,695,5.9,Nima Nourizadeh
304357,1.388032,10119995.5472,Woman in Gold,56690166.2163,2015,277,7.3,Simon Curtis
297291,1.38032,0.0,The Scorpion King: The Lost Throne,0.0,2015,22,4.5,Mike Elliott
266294,1.376605,27599987.856,Sisters,96610126.2515,2015,399,5.9,Jason Moore
227719,1.360926,11039995.1424,Project Almanac,29668368.6659,2015,637,6.3,Dean Israelite
86828,1.360827,0.0,Absolutely Anything,4774472.21923,2015,199,5.8,Terry Jones
287948,1.355822,22999989.88,The Transporter Refueled,66819266.9995,2015,407,5.3,Camille Delamarre
201085,1.345982,50599977.736,Crimson Peak,68705406.0096,2015,819,6.4,Guillermo del Toro
277355,1.342839,0.0,Everly,0.0,2015,169,5.1,Joe Lynch
264999,1.338481,13615994.009,Magic Mike XXL,112619962.887,2015,501,6.3,Gregory Jacobs
146301,1.338322,9199995.952,Paranormal Activity: The Ghost Dimension,71851557.1453,2015,267,5.0,Gregory Plotkin
223485,1.329702,0.0,Slow West,210766.387263,2015,229,6.6,John Maclean
294016,1.316239,13799993.928,Trumbo,7576804.78621,2015,273,7.2,Jay Roach
290751,1.315266,17939992.1064,Secret in Their Eyes,29614535.8096,2015,202,6.2,Billy Ray
309245,1.29314,0.0,Mistress America,2300395.50783,2015,132,6.4,Noah Baumbach
228165,1.291013,68079970.0448,The SpongeBob Movie: Sponge Out of Water,286666383.307,2015,533,5.7,Paul Tibbitt
245706,1.284541,0.0,True Story,4342117.48947,2015,354,6.0,Rupert Goold
272878,1.278928,18399991.904,Max,40449856.8021,2015,214,7.0,Boaz Yakin
263109,1.25358,0.0,Shaun the Sheep Movie,54923975.8335,2015,340,6.9,Mark Burton
157827,1.251681,10119995.5472,Louder Than Bombs,0.0,2015,43,6.3,Joachim Trier
321751,1.245224,0.0,A Perfect Day,1566237.67086,2015,102,6.3,Fernando León de Aranoa
266396,1.225325,36799983.808,The Gunman,9811564.76291,2015,283,5.6,Pierre Morel
277685,1.191138,919999.5952,Unfriended,57851497.3453,2015,643,5.6,Levan Gabriadze
268920,1.178831,32199985.832,Hot Pursuit,47545763.9999,2015,472,5.5,Anne Fletcher
280092,1.164724,9199995.952,Insidious: Chapter 3,95959500.6978,2015,610,6.3,Leigh Whannell
193687,1.161812,0.0,Z for Zachariah,109004.312038,2015,181,5.5,Craig Zobel
300803,1.144808,0.0,Dragonheart 3: The Sorcerer's Curse,0.0,2015,59,4.5,Colin Teague
328589,1.142518,5519997.5712,The Lady in the Van,38076655.2863,2015,135,5.9,Nicholas Hytner
228066,1.138395,36799983.808,Victor Frankenstein,31489100.3048,2015,408,5.5,Paul McGuigan
378373,1.128081,0.0,Brothers of the Wind,0.0,2015,11,7.5,Gerado Olivares
291270,1.125239,7359996.7616,Anomalisa,3458541.59824,2015,259,6.7,Duke Johnson
294963,1.073349,1655999.27136,Bone Tomahawk,0.0,2015,220,6.3,S. Craig Zahler
241257,1.065888,0.0,Regression,16257405.7667,2015,310,5.2,Alejandro Amenábar
245698,1.063055,0.0,Pawn Sacrifice,0.0,2015,148,6.6,Edward Zwick
353326,1.046518,0.0,The Man Who Knew Infinity,10554653.036,2015,104,7.1,Matt Brown
346808,1.041922,18399991.904,Momentum,0.0,2015,100,5.8,Stephen S. Campanelli
250124,1.03839,1839999.1904,The Diary of a Teenage Girl,1358841.24211,2015,186,6.8,Marielle Heller
290637,1.036825,0.0,Pay the Ghost,0.0,2015,114,5.3,Uli Edel
244458,1.02762,0.0,The Voices,0.0,2015,371,6.0,Marjane Satrapi
308504,1.021441,0.0,Last Knights,3352102.24508,2015,237,6.3,Kazuaki Kiriya
314405,1.008474,11039995.1424,Il racconto dei racconti,0.0,2015,211,5.7,Matteo Garrone
282984,1.007054,10119995.5472,Irrational Man,25199786.1921,2015,319,6.1,Woody Allen
157843,0.973316,13799993.928,Queen of the Desert,0.0,2015,30,6.0,Werner Herzog
275601,0.956096,16559992.7136,Ricki and the Flash,38019285.0315,2015,152,5.5,Jonathan Demme
290762,0.953647,0.0,Miss You Already,0.0,2015,139,7.2,Catherine Hardwicke
251516,0.953046,579617.224968,Kung Fury,0.0,2015,487,7.7,David Sandberg
304372,0.950793,11039995.1424,The Perfect Guy,55451294.7614,2015,122,5.6,David M. Rosenthal
324807,0.938432,0.0,A Bigger Splash,1781601.2961,2015,69,5.8,Luca Guadagnino
252512,0.93762,9199995.952,While We're Young,6980483.12859,2015,265,5.9,Noah Baumbach
257091,0.927339,36799983.808,Get Hard,97990493.6442,2015,661,5.9,Etan Cohen
228968,0.91704,0.0,Kidnapping Mr. Heineken,0.0,2015,131,5.8,Daniel Alfredson
347969,0.913085,55199975.712,The Ridiculous 6,0.0,2015,252,4.8,Frank Coraci
237756,0.90686,0.0,Kill Me Three Times,0.0,2015,96,5.1,Kriv Stenders
293646,0.906036,22999989.88,The 33,22910495.0794,2015,262,5.8,Patricia Riggen
245168,0.898296,12879994.3328,Suffragette,14722219.9222,2015,231,7.1,Sarah Gavron
311291,0.894477,0.0,45 Years,0.0,2015,167,6.0,Andrew Haigh
301351,0.880938,5519997.5712,We Are Your Friends,10232318.2978,2015,412,6.2,Max Joseph
248574,0.880268,0.0,Barely Lethal,5588.99754084,2015,215,5.5,Kyle Newman
225728,0.874641,0.0,Macbeth,12137055.0997,2015,269,6.4,Justin Kurzel
326425,0.872149,0.0,Extraction,15432.9932095,2015,57,4.2,Steven C. Miller
342474,0.861179,0.0,Jenny's Wedding,0.0,2015,92,5.2,Mary Agnes Donoghue
277217,0.848748,0.0,Descendants,0.0,2015,262,6.7,Kenny Ortega
207936,0.843174,0.0,Tumbledown,0.0,2015,22,6.6,Sean Mewshaw
250734,0.842202,0.0,Far from the Madding Crowd,27811566.6029,2015,220,6.9,Thomas Vinterberg
249688,0.836941,0.0,The End of the Tour,2762652.06443,2015,126,7.3,James Ponsoldt
268238,0.832487,9199995.952,The Second Best Exotic Marigold Hotel,79099969.916,2015,196,6.4,John Madden
256962,0.829111,18399991.904,Little Boy,5906690.88106,2015,113,7.1,Alejandro Monteverde
322456,0.821443,0.0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,0.0,2015,14,6.4,Brandon Vietti
302528,0.820691,0.0,Remember,1827684.99582,2015,75,7.7,Atom Egoyan
222936,0.814206,34039985.0224,Aloha,24150007.774,2015,469,5.2,Cameron Crowe
316002,0.813893,23919989.4752,Accidental Love,0.0,2015,64,3.6,David O. Russell
365806,0.810667,0.0,Halo: The Fall of Reach,0.0,2015,32,5.3,Ian Kirby
10317,0.795762,25759988.6656,Our Brand Is Crisis,6442077.28549,2015,122,5.7,David Gordon Green
334538,0.792471,0.0,Into the Forest,0.0,2015,57,5.1,Patricia Rozema
306947,0.787969,0.0,The Invitation,213197.946193,2015,192,6.4,Karyn Kusama
328901,0.781809,0.0,The Benefactor,0.0,2015,55,4.5,Andrew Renzi
382517,0.773909,0.0,Open Season: Scared Silly,0.0,2015,33,5.6,David Feiss
310133,0.77107,0.0,Cop Car,123787.785533,2015,174,5.5,Jon Watts
237584,0.768138,0.0,Mojave,0.0,2015,17,4.3,William Monahan
288036,0.758133,0.0,Sleeping with Other People,2956985.41893,2015,197,6.2,Leslye Headland
354110,0.747541,10119995.5472,Forsaken,0.0,2015,53,5.6,Jon Cassar
331781,0.738404,0.0,Amy,7740089.07436,2015,345,7.5,Asif Kapadia
253161,0.7299,0.0,Madame Bovary,0.0,2015,52,5.3,Sophie Barthes
312831,0.719407,0.0,The Hallow,0.0,2015,122,4.9,Corin Hardy
316322,0.714131,0.0,Barbie in Princess Power,0.0,2015,13,5.5,Zeke Norton
301846,0.707355,0.0,Howl,0.0,2015,62,4.9,Paul Hyett
306745,0.706023,6439997.1664,Freeheld,527467.967914,2015,86,7.1,Peter Sollett
332340,0.70137,0.0,Man Up,0.0,2015,264,6.5,Ben Palmer
292431,0.699932,2759998.7856,Love,639647.198555,2015,307,4.7,Gaspar Noé
300693,0.69957,8831996.11392,Truth,2338228.65118,2015,89,6.4,James Vanderbilt
333381,0.696184,0.0,Return to Sender,0.0,2015,88,5.0,Fouad Mikati
256924,0.690479,9199995.952,Danny Collins,9968887.45369,2015,114,6.6,Dan Fogelman
253414,0.689579,13799993.928,Rock the Kasbah,2779009.65724,2015,56,5.1,Barry Levinson
254172,0.689571,2060799.09325,Fathers and Daughters,0.0,2015,142,7.0,Gabriele Muccino
320588,0.673792,919999.5952,"Hello, My Name Is Doris",13289393.2327,2015,87,6.6,Michael Showalter
157544,0.669351,11959994.7376,The Vatican Tapes,1641981.23753,2015,164,4.5,Mark Neveldine
283235,0.661471,7359996.7616,99 Homes,1298972.26845,2015,121,6.8,Ramin Bahrani
243938,0.661163,12879994.3328,Hot Tub Time Machine 2,11329473.935,2015,244,5.0,Steve Pink
86835,0.654335,0.0,Knight of Cups,0.0,2015,101,5.7,Terrence Malick
254905,0.654046,3679998.3808,Manglehorn,131652.862073,2015,35,5.0,David Gordon Green
309242,0.649628,0.0,Mississippi Grind,0.0,2015,74,5.7,Ryan Fleck
332502,0.644786,0.0,400 Days,0.0,2015,98,4.2,Matt Osterman
286192,0.640151,0.0,Lava,0.0,2015,298,7.3,James Ford Murphy
284674,0.638557,0.0,Air,0.0,2015,135,4.7,Christian Cantamessa
360055,0.633608,0.0,Riot,0.0,2015,11,5.0,John Lyde
352179,0.629561,0.0,Septembers of Shiraz,0.0,2015,14,5.9,Wayne Blair
246127,0.607124,0.0,Every Thing Will Be Fine,7391.27674784,2015,44,5.1,Wim Wenders
338676,0.606113,0.0,Extinction,0.0,2015,135,5.3,Miguel Ángel Vivas
330982,0.604928,0.0,The Childhood of a Leader,0.0,2015,25,3.6,Brady Corbet
232572,0.602165,7359996.7616,A Walk in the Woods,33111785.4708,2015,171,5.4,Ken Kwapis
112454,0.599751,0.0,Clown,0.0,2015,182,5.2,Jon Watts
243940,0.599655,3035998.66416,The Lazarus Effect,58981843.808,2015,327,4.9,David Gelb
321528,0.589472,0.0,Batman vs. Robin,0.0,2015,142,6.8,Jay Oliva
317744,0.586735,7359996.7616,Careful What You Wish For,0.0,2015,57,5.4,Elizabeth Allen Rosenbaum
300792,0.584363,0.0,Racing Extinction,0.0,2015,36,7.8,Louie Psihoyos
239573,0.577814,32199985.832,Unfinished Business,13276746.9182,2015,241,4.9,Ken Scott
167810,0.570744,1839999.1904,Lost River,41796.5016095,2015,129,5.7,Ryan Gosling
319075,0.569443,0.0,Cobain: Montage of Heck,0.0,2015,197,7.5,Brett Morgen
316042,0.561032,0.0,Hyena Road,0.0,2015,29,5.7,Paul Gross
334527,0.560744,6439997.1664,Criminal Activities,0.0,2015,67,5.9,Jackie Earle Haley
300153,0.560423,11039995.1424,Life,0.0,2015,75,5.9,Anton Corbijn
228203,0.553238,0.0,"McFarland, USA",42053235.7766,2015,139,7.4,Niki Caro
332704,0.548587,0.0,Backtrack,0.0,2015,52,5.4,Michael Petroni
278236,0.547827,0.0,X+Y,0.0,2015,133,6.0,Morgan Matthews
276839,0.546458,2759998.7856,Home Sweet Hell,0.0,2015,136,4.9,Anthony Burns
326215,0.542568,5519997.5712,Ooops! Noah is Gone...,0.0,2015,50,5.7,Toby Genkel
363689,0.5327,0.0,The Unspoken,0.0,2015,10,4.1,Sheldon Wilson
318256,0.532239,0.0,Hot Girls Wanted,0.0,2015,158,5.9,Jill Bauer
299245,0.532205,91999.95952,The Gallows,39251239.9295,2015,247,5.0,Travis Cluff
333344,0.52985,0.0,Dirty Weekend,0.0,2015,12,4.8,Neil LaBute
357096,0.527957,0.0,I Spit on Your Grave III: Vengeance is Mine,0.0,2015,100,5.0,R.D. Braunstein
309299,0.526642,0.0,Experimenter,0.0,2015,94,6.9,Michael Almereyda
314385,0.524315,9199995.952,By the Sea,3068131.49002,2015,82,5.4,Angelina Jolie
333596,0.52025,0.0,Woodlawn,0.0,2015,32,6.8,Andrew Erwin
361042,0.516954,0.0,The Hollow,0.0,2015,19,5.1,Sheldon Wilson
353686,0.515401,0.0,Visions,0.0,2015,67,5.5,Kevin Greutert
318954,0.514735,0.0,Beyond the Mask,1137205.97963,2015,13,6.2,Chad Burns
289191,0.513386,0.0,I Am Here,0.0,2015,18,4.0,Anders Morgenthaler
324333,0.50732,0.0,Wild Horses,0.0,2015,16,4.1,Robert Duvall
252164,0.504828,0.0,Pressure,0.0,2015,29,5.0,Ron Scalpello
360784,0.502489,0.0,Hidden,0.0,2015,96,6.5,Ross Duffer
336313,0.497265,0.0,Hell & Back,145146.496136,2015,47,4.3,Tom Gianas
240483,0.486351,19319991.4992,Robot Overlords,0.0,2015,63,4.9,Jon Wright
321494,0.482422,0.0,The Man with the Iron Fists 2,0.0,2015,43,4.7,Roel Reiné
353595,0.47784,0.0,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,0.0,2015,17,6.8,Rick Morales
360603,0.476341,0.0,Crown for Christmas,0.0,2015,10,7.6,Alex Zamm
264337,0.475473,0.0,Spare Parts,0.0,2015,38,6.6,Sean McNamara
289716,0.474788,0.0,The World Made Straight,0.0,2015,13,5.8,David Burris
296065,0.474626,0.0,Last Shift,0.0,2015,77,5.6,Anthony DiBlasi
337029,0.473344,0.0,Frankenstein,0.0,2015,14,4.5,Bernard Rose
317952,0.471393,0.0,Cartel Land,0.0,2015,112,7.5,Matthew Heineman
325358,0.471091,18399991.904,Superfast!,0.0,2015,60,4.4,Jason Friedberg
272548,0.470991,0.0,Moonwalkers,0.0,2015,53,6.0,Antoine Bardou-Jacquet
340275,0.470124,0.0,Chi-Raq,0.0,2015,33,5.9,Spike Lee
309887,0.467556,4875997.85456,Bad Asses on the Bayou,0.0,2015,24,5.8,Craig Moss
302429,0.465707,0.0,Strange Magic,12515171.2533,2015,68,6.1,Gary Rydstrom
253331,0.46209,8279996.3568,Black or White,19845485.148,2015,72,6.7,Mike Binder
293771,0.459597,0.0,Dead Rising,0.0,2015,82,4.9,Zach Lipovsky
323373,0.454151,0.0,Deathgasm,0.0,2015,83,6.5,Jason Lei Howden
323027,0.452939,0.0,Justice League: Gods and Monsters,0.0,2015,99,6.9,Sam Liu
297806,0.450872,11959994.7376,I Saw the Light,1515044.29338,2015,19,5.6,Marc Abraham
253626,0.45016,0.0,Good Kill,291154.111892,2015,132,5.7,Andrew Niccol
354251,0.444265,0.0,Southbound,0.0,2015,73,6.0,Roxanne Benjamin
329637,0.444193,0.0,Star Trek: Renegades,0.0,2015,31,4.1,Tim Russ
257444,0.443525,0.0,The Boy,0.0,2015,22,6.1,Craig Macneill
355338,0.442835,0.0,Riley's First Date?,0.0,2015,137,7.3,Josh Cooley
271736,0.442427,0.0,The Program,3023530.82965,2015,107,5.9,Stephen Frears
309581,0.442067,0.0,Lila & Eve,0.0,2015,78,5.2,Charles Stone III
293970,0.441882,0.0,The Final Girls,0.0,2015,211,6.6,Todd Strauss-Schulson
279690,0.441402,0.0,He Never Died,0.0,2015,65,6.3,Jason Krawczyk
364067,0.439598,0.0,A Very Murray Christmas,0.0,2015,101,5.4,Sofia Coppola
318922,0.438409,0.0,Kill Your Friends,0.0,2015,54,5.5,Owen Harris
335077,0.437088,0.0,Battle For SkyArk,0.0,2015,18,3.5,Simon Hung
266639,0.435582,4599997.976,Jem and the Holograms,2146988.33533,2015,69,5.7,Jon M. Chu
274504,0.433073,0.0,The Adderall Diaries,0.0,2015,23,4.8,Pamela Romanowsky
244316,0.429892,9199995.952,Grizzly,0.0,2015,35,5.0,David Hackl
352208,0.427116,0.0,Where to Invade Next,0.0,2015,67,7.2,Michael Moore
283587,0.424813,5519997.5712,Beasts of No Nation,83514.8032535,2015,306,7.5,Cary Fukunaga
311539,0.423161,0.0,A Christmas Horror Story,0.0,2015,56,5.6,Grant Harvey
277713,0.42179,0.0,Sunset Song,0.0,2015,19,7.1,Terence Davies
347945,0.429756,0.0,Synchronicity,4144.59817638,2015,45,5.3,Jacob Gentry
363483,0.417191,0.0,12 Gifts of Christmas,0.0,2015,12,6.3,Peter Sullivan
344854,0.415041,0.0,The Pack,0.0,2015,15,5.5,Nick Robertson
234212,0.414913,2759998.7856,Demonic,3116038.62894,2015,91,5.0,Will Canon
354220,0.370258,0.0,The Girl in the Photographs,0.0,2015,10,4.7,Nick Simon
283596,0.412877,0.0,The Legend of Barney Thomson,0.0,2015,21,5.7,Robert Carlyle
250225,0.412503,919999.5952,The Duke of Burgundy,0.0,2015,58,5.8,Peter Strickland
307479,0.409698,0.0,88,0.0,2015,20,4.4,April Mullen
339145,0.405095,0.0,The Girl in the Book,0.0,2015,23,6.2,Marya Cohn
323660,0.404511,0.0,Avengers Grimm,0.0,2015,23,3.8,Jeremy M. Inman
308638,0.402236,411721.898842,The D Train,709611.327771,2015,47,4.2,Andrew Mogel
359983,0.250209,0.0,The Lion Guard: Return of the Roar,0.0,2015,48,5.9,Howy Parkins
300155,0.399947,0.0,A Royal Night Out,209885.027651,2015,42,6.2,Julian Jarrold
328595,0.398982,0.0,Parallels,0.0,2015,92,6.1,Christopher Leone
327528,0.396791,0.0,Born to Be Blue,763718.343964,2015,16,6.8,Robert Budreau
